college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url,linkedin_url
National Institute of Technology Tiruchirappalli,NIT Trichy,South,Tiruchirappalli,Tamil Nadu,NIT (Central Govt - Autonomous),1964,9,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Production Engineering | Instrumentation & Control | Metallurgical Engineering,https://www.nitt.edu,https://www.shiksha.com/university/nit-trichy-tiruchirappalli-11093,https://in.linkedin.com/school/nittrichy/
National Institute of Technology Warangal,NIT Warangal,South,Warangal,Telangana,NIT (Central Govt - Autonomous),1959,26,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Biotechnology | Metallurgical Engineering | Materials Science,https://www.nitw.ac.in,https://www.shiksha.com/university/nit-warangal-warangal-11094,https://in.linkedin.com/school/national-institute-of-technology-warangal/
"National Institute of Technology Karnataka, Surathkal",NIT Surathkal,South,Surathkal,Karnataka,NIT (Central Govt - Autonomous),1960,27,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Mining Engineering | Metallurgical Engineering | Information Technology,https://www.nitk.ac.in,https://www.shiksha.com/university/nit-surathkal-mangalore-11097,https://in.linkedin.com/school/national-institute-of-technology-karnataka-surathkal/
National Institute of Technology Calicut,NIT Calicut,South,Calicut,Kerala,NIT (Central Govt - Autonomous),1961,35,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Biotechnology | Materials Science | Production Engineering | Architecture,https://www.nitc.ac.in,https://www.shiksha.com/university/nit-calicut-calicut-11096,https://in.linkedin.com/school/national-institute-of-technology-calicut/
Malaviya National Institute of Technology Jaipur,MNIT Jaipur,North,Jaipur,Rajasthan,NIT (Central Govt - Autonomous),1963,38,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Biotechnology,https://www.mnit.ac.in,https://www.shiksha.com/university/mnit-jaipur-jaipur-11099,https://in.linkedin.com/school/mnitjaipur/
National Institute of Technology Rourkela,NIT Rourkela,East,Rourkela,Odisha,NIT (Central Govt - Autonomous),1961,29,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Mining Engineering | Biotechnology | Life Science,https://www.nitrkl.ac.in,https://www.shiksha.com/university/nit-rourkela-rourkela-11098,https://in.linkedin.com/school/national-institute-of-technology-rourkela/
Visvesvaraya National Institute of Technology Nagpur,VNIT Nagpur,West,Nagpur,Maharashtra,NIT (Central Govt - Autonomous),1960,48,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Mining Engineering,https://www.vnit.ac.in,https://www.shiksha.com/university/vnit-nagpur-nagpur-11100,https://in.linkedin.com/school/visvesvaraya-national-institute-of-technology/
Motilal Nehru National Institute of Technology Allahabad,MNNIT Allahabad,North,Prayagraj,Uttar Pradesh,NIT (Central Govt - Autonomous),1961,53,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Biotechnology | Production Engineering,https://www.mnnit.ac.in,https://www.shiksha.com/university/mnnit-allahabad-prayagraj-11102,https://in.linkedin.com/school/mnnit-allahabad/
National Institute of Technology Kurukshetra,NIT Kurukshetra,North,Kurukshetra,Haryana,NIT (Central Govt - Autonomous),1963,55,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Electronics & Communication | Biotechnology | Mechanical-Industrial | Production & Industrial Engineering,https://www.nitkkr.ac.in,https://www.shiksha.com/university/nit-kurukshetra-kurukshetra-11103,https://in.linkedin.com/school/national-institute-of-technology-kurukshetra/
National Institute of Technology Durgapur,NIT Durgapur,East,Durgapur,West Bengal,NIT (Central Govt - Autonomous),1960,58,B.Tech | M.Tech | Ph.D | M.Sc | MBA,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Electronics & Communication | Metallurgical Engineering | Biotechnology,https://www.nitdgp.ac.in,https://www.shiksha.com/university/nit-durgapur-durgapur-11104,https://in.linkedin.com/school/national-institute-of-technology-durgapur/
